Solyc00g005280.1,0
Solyc00g006650.1,0
Solyc00g007330.1,0
Solyc00g007340.1,0
Solyc00g007350.1,0
Solyc00g007450.1,0
Solyc00g007920.1,0
Solyc00g007930.1,0
Solyc00g007940.1,0
Solyc00g011560.1,0
Solyc00g011660.1,0
Solyc00g011670.1,0
Solyc00g012540.1,0
Solyc00g013100.1,0
Solyc00g013110.1,0
Solyc00g013170.1,0
Solyc00g013180.1,1
Solyc00g014290.1,0
Solyc00g014790.2,4
Solyc00g014800.1,12
Solyc00g014810.1,0
Solyc00g014850.1,19
Solyc00g014860.1,0
Solyc00g015600.1,0
Solyc00g016590.1,0
Solyc00g019730.1,0
Solyc00g019750.1,0
Solyc00g019950.1,59
Solyc00g019970.2,41
Solyc00g019980.2,16
Solyc00g019990.1,10
Solyc00g020000.1,8
Solyc00g020010.1,18
Solyc00g020020.2,10
Solyc00g020030.1,0
Solyc00g020040.1,7
Solyc00g021630.1,184
Solyc00g021640.2,64
Solyc00g021650.1,1
Solyc00g021660.1,0
Solyc00g022070.1,0
Solyc00g022080.1,0
Solyc00g022090.1,0
Solyc00g022100.1,6
Solyc00g023570.1,0
Solyc00g023580.1,0
Solyc00g023590.2,1
Solyc00g023600.1,1
Solyc00g023700.2,0
Solyc00g023710.1,0
Solyc00g025290.1,0
Solyc00g025300.1,0
Solyc00g025400.2,0
Solyc00g028960.1,42
Solyc00g032030.1,0
Solyc00g036520.1,0
Solyc00g036530.1,0
Solyc00g047180.1,0
Solyc00g047190.1,0
Solyc00g047200.1,0
Solyc00g049210.1,0
Solyc00g049220.1,0
Solyc00g052430.2,2
Solyc00g052530.2,0
Solyc00g052540.1,0
Solyc00g069880.2,0
Solyc00g072800.2,0
Solyc00g076250.1,0
Solyc00g094520.1,11
Solyc00g094530.1,19
Solyc00g094540.1,21
Solyc00g094550.1,2
Solyc00g112190.2,0
Solyc00g118680.2,0
Solyc00g118690.1,2
Solyc00g125980.1,0
Solyc00g125990.1,0
Solyc00g126000.1,0
Solyc00g126010.1,0
Solyc00g142160.1,1
Solyc00g142170.2,0
Solyc00g153980.1,0
Solyc00g164580.1,0
Solyc00g180440.1,0
Solyc00g181240.1,0
Solyc00g181250.2,1
Solyc00g198360.1,0
Solyc00g210860.1,0
Solyc00g230060.1,0
Solyc00g230070.1,0
Solyc00g230080.1,0
Solyc00g244280.1,0
Solyc00g244290.1,0
Solyc00g244300.1,0
Solyc00g254910.1,0
Solyc00g266110.1,0
Solyc00g277510.1,11
Solyc00g281110.1,0
Solyc00g284510.1,0
Solyc00g308530.1,0
Solyc00g309530.1,0
Solyc00g316530.1,0
Solyc00g320430.1,0
Solyc00g322630.1,0
Solyc00g500001.1,0
Solyc00g500002.1,0
Solyc00g500003.1,0
Solyc00g500004.1,0
Solyc00g500005.1,0
Solyc00g500006.1,0
Solyc00g500007.1,0
Solyc00g500008.1,0
Solyc00g500009.1,0
Solyc00g500010.1,0
Solyc00g500011.1,0
Solyc00g500012.1,0
Solyc00g500013.1,0
Solyc00g500014.1,0
Solyc00g500015.1,0
Solyc00g500016.1,0
